date,away_team,away_1st_inn,home_team,home_1st_inn
"Thursday, April 1, 2021",Toronto Blue Jays,0,New York Yankees,0
"Thursday, April 1, 2021",Cleveland Indians,0,Detroit Tigers,2
"Thursday, April 1, 2021",Minnesota Twins,0,Milwaukee Brewers,0
"Thursday, April 1, 2021",Pittsburgh Pirates,2,Chicago Cubs,1
"Thursday, April 1, 2021",Atlanta Braves,0,Philadelphia Phillies,1
"Thursday, April 1, 2021",St. Louis Cardinals,6,Cincinnati Reds,1
"Thursday, April 1, 2021",Los Angeles Dodgers,0,Colorado Rockies,0
"Thursday, April 1, 2021",Texas Rangers,5,Kansas City Royals,5
"Thursday, April 1, 2021",Tampa Bay Rays,0,Miami Marlins,0
"Thursday, April 1, 2021",Arizona Diamondbacks,1,San Diego Padres,0
"Thursday, April 1, 2021",Chicago White Sox,0,Los Angeles Angels,0
"Thursday, April 1, 2021",Houston Astros,0,Oakland Athletics,0
"Thursday, April 1, 2021",San Francisco Giants,0,Seattle Mariners,0
"Friday, April 2, 2021",Baltimore Orioles,0,Boston Red Sox,0
"Friday, April 2, 2021",Tampa Bay Rays,0,Miami Marlins,0
"Friday, April 2, 2021",Los Angeles Dodgers,2,Colorado Rockies,0
"Friday, April 2, 2021",Chicago White Sox,0,Los Angeles Angels,1
"Friday, April 2, 2021",Houston Astros,0,Oakland Athletics,0
"Friday, April 2, 2021",Arizona Diamondbacks,0,San Diego Padres,0
"Friday, April 2, 2021",San Francisco Giants,0,Seattle Mariners,0
"Saturday, April 3, 2021",Toronto Blue Jays,0,New York Yankees,0
"Saturday, April 3, 2021",Baltimore Orioles,0,Boston Red Sox,0
"Saturday, April 3, 2021",Cleveland Indians,0,Detroit Tigers,2
"Saturday, April 3, 2021",Texas Rangers,2,Kansas City Royals,0
"Saturday, April 3, 2021",Pittsburgh Pirates,1,Chicago Cubs,0
"Saturday, April 3, 2021",Atlanta Braves,0,Philadelphia Phillies,0
"Saturday, April 3, 2021",Houston Astros,1,Oakland Athletics,1
"Saturday, April 3, 2021",St. Louis Cardinals,0,Cincinnati Reds,0
"Saturday, April 3, 2021",Tampa Bay Rays,0,Miami Marlins,1
"Saturday, April 3, 2021",Minnesota Twins,0,Milwaukee Brewers,0
"Saturday, April 3, 2021",Los Angeles Dodgers,0,Colorado Rockies,0
"Saturday, April 3, 2021",Arizona Diamondbacks,0,San Diego Padres,2
"Saturday, April 3, 2021",Chicago White Sox,0,Los Angeles Angels,0
"Saturday, April 3, 2021",San Francisco Giants,0,Seattle Mariners,0
"Sunday, April 4, 2021",Toronto Blue Jays,0,New York Yankees,0
"Sunday, April 4, 2021",Atlanta Braves,0,Philadelphia Phillies,0
"Sunday, April 4, 2021",Baltimore Orioles,3,Boston Red Sox,0
"Sunday, April 4, 2021",St. Louis Cardinals,0,Cincinnati Reds,0
"Sunday, April 4, 2021",Cleveland Indians,1,Detroit Tigers,2
"Sunday, April 4, 2021",Texas Rangers,0,Kansas City Royals,0
"Sunday, April 4, 2021",Minnesota Twins,1,Milwaukee Brewers,0
"Sunday, April 4, 2021",Pittsburgh Pirates,0,Chicago Cubs,2
"Sunday, April 4, 2021",Los Angeles Dodgers,3,Colorado Rockies,0
"Sunday, April 4, 2021",Houston Astros,1,Oakland Athletics,1
"Sunday, April 4, 2021",Arizona Diamondbacks,2,San Diego Padres,0
"Sunday, April 4, 2021",Chicago White Sox,0,Los Angeles Angels,2
"Monday, April 5, 2021",Minnesota Twins,1,Detroit Tigers,0
"Monday, April 5, 2021",Toronto Blue Jays,1,Texas Rangers,0
"Monday, April 5, 2021",Kansas City Royals,0,Cleveland Indians,0
"Monday, April 5, 2021",Baltimore Orioles,0,New York Yankees,0
"Monday, April 5, 2021",Pittsburgh Pirates,2,Cincinnati Reds,0
"Monday, April 5, 2021",St. Louis Cardinals,3,Miami Marlins,0
"Monday, April 5, 2021",New York Mets,0,Philadelphia Phillies,0
"Monday, April 5, 2021",Tampa Bay Rays,0,Boston Red Sox,0
"Monday, April 5, 2021",Milwaukee Brewers,0,Chicago Cubs,0
"Monday, April 5, 2021",Houston Astros,3,Los Angeles Angels,0
"Monday, April 5, 2021",Los Angeles Dodgers,0,Oakland Athletics,0
"Monday, April 5, 2021",San Francisco Giants,0,San Diego Padres,0
"Monday, April 5, 2021",Chicago White Sox,0,Seattle Mariners,0
"Tuesday, April 6, 2021",Minnesota Twins,0,Detroit Tigers,0
"Tuesday, April 6, 2021",Atlanta Braves,2,Washington Nationals,0
"Tuesday, April 6, 2021",Houston Astros,0,Los Angeles Angels,2
"Tuesday, April 6, 2021",Baltimore Orioles,0,New York Yankees,0
"Tuesday, April 6, 2021",Pittsburgh Pirates,0,Cincinnati Reds,1
"Tuesday, April 6, 2021",St. Louis Cardinals,0,Miami Marlins,1
"Tuesday, April 6, 2021",New York Mets,0,Philadelphia Phillies,0
"Tuesday, April 6, 2021",Tampa Bay Rays,0,Boston Red Sox,1
"Tuesday, April 6, 2021",Milwaukee Brewers,3,Chicago Cubs,0
"Tuesday, April 6, 2021",Toronto Blue Jays,1,Texas Rangers,2
"Tuesday, April 6, 2021",Arizona Diamondbacks,0,Colorado Rockies,0
"Tuesday, April 6, 2021",Los Angeles Dodgers,0,Oakland Athletics,1
"Tuesday, April 6, 2021",San Francisco Giants,0,San Diego Padres,0
"Tuesday, April 6, 2021",Chicago White Sox,0,Seattle Mariners,0
"Wednesday, April 7, 2021",Atlanta Braves,0,Washington Nationals,0
"Wednesday, April 7, 2021",Tampa Bay Rays,0,Boston Red Sox,0
"Wednesday, April 7, 2021",Kansas City Royals,0,Cleveland Indians,0
"Wednesday, April 7, 2021",Minnesota Twins,0,Detroit Tigers,0
"Wednesday, April 7, 2021",Toronto Blue Jays,0,Texas Rangers,0
"Wednesday, April 7, 2021",Milwaukee Brewers,0,Chicago Cubs,0
"Wednesday, April 7, 2021",Los Angeles Dodgers,1,Oakland Athletics,0
"Wednesday, April 7, 2021",New York Mets,0,Philadelphia Phillies,4
"Wednesday, April 7, 2021",St. Louis Cardinals,0,Miami Marlins,0
"Wednesday, April 7, 2021",San Francisco Giants,0,San Diego Padres,0
"Wednesday, April 7, 2021",Chicago White Sox,0,Seattle Mariners,0
"Wednesday, April 7, 2021",Baltimore Orioles,0,New York Yankees,0
"Wednesday, April 7, 2021",Arizona Diamondbacks,0,Colorado Rockies,1
"Wednesday, April 7, 2021",Atlanta Braves,1,Washington Nationals,4
"Wednesday, April 7, 2021",Pittsburgh Pirates,0,Cincinnati Reds,5
"Thursday, April 8, 2021",Miami Marlins,0,New York Mets,0
"Thursday, April 8, 2021",Chicago Cubs,1,Pittsburgh Pirates,0
"Thursday, April 8, 2021",Boston Red Sox,2,Baltimore Orioles,2
"Thursday, April 8, 2021",Arizona Diamondbacks,0,Colorado Rockies,3
"Thursday, April 8, 2021",Kansas City Royals,0,Chicago White Sox,3
"Thursday, April 8, 2021",Seattle Mariners,0,Minnesota Twins,0
"Thursday, April 8, 2021",Milwaukee Brewers,0,St. Louis Cardinals,0
"Thursday, April 8, 2021",Los Angeles Angels,1,Toronto Blue Jays,3
"Thursday, April 8, 2021",Oakland Athletics,0,Houston Astros,0
"Friday, April 9, 2021",New York Yankees,0,Tampa Bay Rays,0
"Friday, April 9, 2021",Washington Nationals,0,Los Angeles Dodgers,0
"Friday, April 9, 2021",Colorado Rockies,0,San Francisco Giants,0
"Friday, April 9, 2021",Los Angeles Angels,0,Toronto Blue Jays,0
"Friday, April 9, 2021",Detroit Tigers,0,Cleveland Indians,3
"Friday, April 9, 2021",Philadelphia Phillies,0,Atlanta Braves,0
"Friday, April 9, 2021",San Diego Padres,0,Texas Rangers,0
"Friday, April 9, 2021",Oakland Athletics,0,Houston Astros,0
"Friday, April 9, 2021",Cincinnati Reds,0,Arizona Diamondbacks,0
"Saturday, April 10, 2021",Miami Marlins,0,New York Mets,0
"Saturday, April 10, 2021",New York Yankees,0,Tampa Bay Rays,1
"Saturday, April 10, 2021",Seattle Mariners,0,Minnesota Twins,0
"Saturday, April 10, 2021",Milwaukee Brewers,1,St. Louis Cardinals,0
"Saturday, April 10, 2021",Oakland Athletics,0,Houston Astros,0
"Saturday, April 10, 2021",Colorado Rockies,0,San Francisco Giants,0
"Saturday, April 10, 2021",Detroit Tigers,0,Cleveland Indians,0
"Saturday, April 10, 2021",Chicago Cubs,1,Pittsburgh Pirates,0
"Saturday, April 10, 2021",Boston Red Sox,2,Baltimore Orioles,2
"Saturday, April 10, 2021",San Diego Padres,0,Texas Rangers,0
"Saturday, April 10, 2021",Los Angeles Angels,0,Toronto Blue Jays,0
"Saturday, April 10, 2021",Philadelphia Phillies,2,Atlanta Braves,3
"Saturday, April 10, 2021",Cincinnati Reds,0,Arizona Diamondbacks,0
"Saturday, April 10, 2021",Washington Nationals,1,Los Angeles Dodgers,0
"Sunday, April 11, 2021",Boston Red Sox,0,Baltimore Orioles,0
"Sunday, April 11, 2021",Chicago Cubs,0,Pittsburgh Pirates,0
"Sunday, April 11, 2021",Detroit Tigers,1,Cleveland Indians,0
"Sunday, April 11, 2021",New York Yankees,0,Tampa Bay Rays,0
"Sunday, April 11, 2021",Kansas City Royals,0,Chicago White Sox,0
"Sunday, April 11, 2021",Seattle Mariners,0,Minnesota Twins,1
"Sunday, April 11, 2021",Milwaukee Brewers,4,St. Louis Cardinals,0
"Sunday, April 11, 2021",San Diego Padres,0,Texas Rangers,0
"Sunday, April 11, 2021",Colorado Rockies,0,San Francisco Giants,2
"Sunday, April 11, 2021",Cincinnati Reds,0,Arizona Diamondbacks,0
"Sunday, April 11, 2021",Washington Nationals,0,Los Angeles Dodgers,0
"Sunday, April 11, 2021",Philadelphia Phillies,0,Atlanta Braves,3
"Monday, April 12, 2021",San Diego Padres,1,Pittsburgh Pirates,0
"Monday, April 12, 2021",New York Yankees,0,Toronto Blue Jays,1
"Monday, April 12, 2021",Texas Rangers,0,Tampa Bay Rays,0
"Monday, April 12, 2021",Miami Marlins,0,Atlanta Braves,1
"Monday, April 12, 2021",Chicago Cubs,0,Milwaukee Brewers,0
"Monday, April 12, 2021",Washington Nationals,1,St. Louis Cardinals,0
"Monday, April 12, 2021",Cleveland Indians,0,Chicago White Sox,0
"Monday, April 12, 2021",Detroit Tigers,0,Houston Astros,0
"Monday, April 12, 2021",Los Angeles Angels,0,Kansas City Royals,0
"Monday, April 12, 2021",Oakland Athletics,1,Arizona Diamondbacks,0
"Monday, April 12, 2021",Cincinnati Reds,0,San Francisco Giants,0
"Tuesday, April 13, 2021",Seattle Mariners,0,Baltimore Orioles,0
"Tuesday, April 13, 2021",Philadelphia Phillies,0,New York Mets,0
"Tuesday, April 13, 2021",Boston Red Sox,0,Minnesota Twins,2
"Tuesday, April 13, 2021",Oakland Athletics,0,Arizona Diamondbacks,0
"Tuesday, April 13, 2021",Seattle Mariners,1,Baltimore Orioles,0
"Tuesday, April 13, 2021",Philadelphia Phillies,0,New York Mets,2
"Tuesday, April 13, 2021",San Diego Padres,2,Pittsburgh Pirates,3
"Tuesday, April 13, 2021",New York Yankees,0,Toronto Blue Jays,0
"Tuesday, April 13, 2021",Texas Rangers,1,Tampa Bay Rays,2
"Tuesday, April 13, 2021",Miami Marlins,0,Atlanta Braves,3
"Tuesday, April 13, 2021",Chicago Cubs,0,Milwaukee Brewers,0
"Tuesday, April 13, 2021",Washington Nationals,0,St. Louis Cardinals,1
"Tuesday, April 13, 2021",Cleveland Indians,0,Chicago White Sox,0
"Tuesday, April 13, 2021",Detroit Tigers,0,Houston Astros,0
"Tuesday, April 13, 2021",Los Angeles Angels,0,Kansas City Royals,1
"Tuesday, April 13, 2021",Cincinnati Reds,4,San Francisco Giants,4
"Tuesday, April 13, 2021",Colorado Rockies,0,Los Angeles Dodgers,2
"Wednesday, April 14, 2021",Boston Red Sox,0,Minnesota Twins,1
"Wednesday, April 14, 2021",New York Yankees,1,Toronto Blue Jays,0
"Wednesday, April 14, 2021",Washington Nationals,0,St. Louis Cardinals,0
"Wednesday, April 14, 2021",Chicago Cubs,0,Milwaukee Brewers,2
"Wednesday, April 14, 2021",Los Angeles Angels,0,Kansas City Royals,0
"Wednesday, April 14, 2021",Boston Red Sox,0,Minnesota Twins,0
"Wednesday, April 14, 2021",Cincinnati Reds,0,San Francisco Giants,0
"Wednesday, April 14, 2021",San Diego Padres,0,Pittsburgh Pirates,0
"Wednesday, April 14, 2021",Detroit Tigers,0,Houston Astros,0
"Wednesday, April 14, 2021",Philadelphia Phillies,0,New York Mets,2
"Wednesday, April 14, 2021",Texas Rangers,0,Tampa Bay Rays,0
"Wednesday, April 14, 2021",Miami Marlins,0,Atlanta Braves,0
"Wednesday, April 14, 2021",Cleveland Indians,0,Chicago White Sox,6
"Wednesday, April 14, 2021",Colorado Rockies,0,Los Angeles Dodgers,2
"Thursday, April 15, 2021",Seattle Mariners,0,Baltimore Orioles,0
"Thursday, April 15, 2021",Boston Red Sox,0,Minnesota Twins,0
"Thursday, April 15, 2021",Cleveland Indians,0,Chicago White Sox,1
"Thursday, April 15, 2021",Arizona Diamondbacks,3,Washington Nationals,4
"Thursday, April 15, 2021",Texas Rangers,0,Tampa Bay Rays,0
"Thursday, April 15, 2021",Toronto Blue Jays,0,Kansas City Royals,1
"Thursday, April 15, 2021",Detroit Tigers,0,Oakland Athletics,0
"Thursday, April 15, 2021",Colorado Rockies,1,Los Angeles Dodgers,0
"Thursday, April 15, 2021",Miami Marlins,0,Atlanta Braves,0
"Thursday, April 15, 2021",Seattle Mariners,0,Baltimore Orioles,2
"Thursday, April 15, 2021",San Diego Padres,4,Pittsburgh Pirates,0
"Friday, April 16, 2021",Atlanta Braves,0,Chicago Cubs,0
"Friday, April 16, 2021",Tampa Bay Rays,2,New York Yankees,0
"Friday, April 16, 2021",St. Louis Cardinals,0,Philadelphia Phillies,0
"Friday, April 16, 2021",Arizona Diamondbacks,0,Washington Nationals,0
"Friday, April 16, 2021",Cleveland Indians,0,Cincinnati Reds,0
"Friday, April 16, 2021",San Francisco Giants,0,Miami Marlins,0
"Friday, April 16, 2021",Baltimore Orioles,0,Texas Rangers,0
"Friday, April 16, 2021",Pittsburgh Pirates,0,Milwaukee Brewers,0
"Friday, April 16, 2021",Minnesota Twins,0,Los Angeles Angels,0
"Friday, April 16, 2021",Detroit Tigers,0,Oakland Athletics,0
"Friday, April 16, 2021",Los Angeles Dodgers,0,San Diego Padres,0
"Friday, April 16, 2021",Houston Astros,0,Seattle Mariners,0
"Saturday, April 17, 2021",New York Mets,0,Colorado Rockies,3
"Saturday, April 17, 2021",Tampa Bay Rays,0,New York Yankees,0
"Saturday, April 17, 2021",Arizona Diamondbacks,0,Washington Nationals,0
"Saturday, April 17, 2021",Toronto Blue Jays,2,Kansas City Royals,0
"Saturday, April 17, 2021",Atlanta Braves,0,Chicago Cubs,1
"Saturday, April 17, 2021",Chicago White Sox,2,Boston Red Sox,0
"Saturday, April 17, 2021",St. Louis Cardinals,0,Philadelphia Phillies,1
"Saturday, April 17, 2021",Detroit Tigers,0,Oakland Athletics,1
"Saturday, April 17, 2021",Cleveland Indians,0,Cincinnati Reds,0
"Saturday, April 17, 2021",New York Mets,0,Colorado Rockies,0
"Saturday, April 17, 2021",Toronto Blue Jays,0,Kansas City Royals,0
"Saturday, April 17, 2021",San Francisco Giants,0,Miami Marlins,1
"Saturday, April 17, 2021",Baltimore Orioles,0,Texas Rangers,0
"Saturday, April 17, 2021",Pittsburgh Pirates,0,Milwaukee Brewers,5
"Saturday, April 17, 2021",Los Angeles Dodgers,0,San Diego Padres,0
"Saturday, April 17, 2021",Houston Astros,0,Seattle Mariners,0
"Sunday, April 18, 2021",Tampa Bay Rays,0,New York Yankees,0
"Sunday, April 18, 2021",St. Louis Cardinals,0,Philadelphia Phillies,1
"Sunday, April 18, 2021",Arizona Diamondbacks,1,Washington Nationals,0
"Sunday, April 18, 2021",Chicago White Sox,1,Boston Red Sox,0
"Sunday, April 18, 2021",Cleveland Indians,1,Cincinnati Reds,0
"Sunday, April 18, 2021",San Francisco Giants,0,Miami Marlins,0
"Sunday, April 18, 2021",Toronto Blue Jays,0,Kansas City Royals,0
"Sunday, April 18, 2021",Pittsburgh Pirates,0,Milwaukee Brewers,2
"Sunday, April 18, 2021",Baltimore Orioles,0,Texas Rangers,0
"Sunday, April 18, 2021",New York Mets,0,Colorado Rockies,0
"Sunday, April 18, 2021",Detroit Tigers,0,Oakland Athletics,0
"Sunday, April 18, 2021",Los Angeles Dodgers,0,San Diego Padres,0
"Sunday, April 18, 2021",Houston Astros,0,Seattle Mariners,1
"Sunday, April 18, 2021",Chicago White Sox,1,Boston Red Sox,0
"Sunday, April 18, 2021",Atlanta Braves,6,Chicago Cubs,2
"Monday, April 19, 2021",San Francisco Giants,0,Philadelphia Phillies,0
"Monday, April 19, 2021",St. Louis Cardinals,0,Washington Nationals,0
"Monday, April 19, 2021",Tampa Bay Rays,0,Kansas City Royals,0
"Monday, April 19, 2021",Texas Rangers,0,Los Angeles Angels,0
"Monday, April 19, 2021",Milwaukee Brewers,0,San Diego Padres,1
"Monday, April 19, 2021",Los Angeles Dodgers,0,Seattle Mariners,2
"Monday, April 19, 2021",Chicago White Sox,1,Boston Red Sox,6
"Tuesday, April 20, 2021",Minnesota Twins,0,Oakland Athletics,0
"Tuesday, April 20, 2021",Los Angeles Dodgers,0,Seattle Mariners,0
"Tuesday, April 20, 2021",Chicago White Sox,0,Cleveland Indians,0
"Tuesday, April 20, 2021",Minnesota Twins,0,Oakland Athletics,0
"Tuesday, April 20, 2021",Atlanta Braves,0,New York Yankees,0
"Tuesday, April 20, 2021",Arizona Diamondbacks,3,Cincinnati Reds,0
"Tuesday, April 20, 2021",Baltimore Orioles,3,Miami Marlins,1
"Tuesday, April 20, 2021",San Francisco Giants,0,Philadelphia Phillies,0
"Tuesday, April 20, 2021",St. Louis Cardinals,0,Washington Nationals,0
"Tuesday, April 20, 2021",Toronto Blue Jays,0,Boston Red Sox,0
"Tuesday, April 20, 2021",New York Mets,0,Chicago Cubs,0
"Tuesday, April 20, 2021",Tampa Bay Rays,1,Kansas City Royals,0
"Tuesday, April 20, 2021",Houston Astros,0,Colorado Rockies,0
"Tuesday, April 20, 2021",Texas Rangers,0,Los Angeles Angels,0
"Tuesday, April 20, 2021",Milwaukee Brewers,0,San Diego Padres,0
"Wednesday, April 21, 2021",San Francisco Giants,0,Philadelphia Phillies,0
"Wednesday, April 21, 2021",Baltimore Orioles,0,Miami Marlins,0
"Wednesday, April 21, 2021",Pittsburgh Pirates,0,Detroit Tigers,0
"Wednesday, April 21, 2021",Houston Astros,0,Colorado Rockies,2
"Wednesday, April 21, 2021",Minnesota Twins,1,Oakland Athletics,0
"Wednesday, April 21, 2021",St. Louis Cardinals,0,Washington Nationals,0
"Wednesday, April 21, 2021",Texas Rangers,0,Los Angeles Angels,1
"Wednesday, April 21, 2021",Milwaukee Brewers,0,San Diego Padres,0
"Wednesday, April 21, 2021",Atlanta Braves,0,New York Yankees,0
"Wednesday, April 21, 2021",Arizona Diamondbacks,0,Cincinnati Reds,0
"Wednesday, April 21, 2021",Pittsburgh Pirates,1,Detroit Tigers,0
"Wednesday, April 21, 2021",Toronto Blue Jays,1,Boston Red Sox,0
"Wednesday, April 21, 2021",New York Mets,1,Chicago Cubs,0
"Wednesday, April 21, 2021",Tampa Bay Rays,4,Kansas City Royals,0
"Thursday, April 22, 2021",Pittsburgh Pirates,2,Detroit Tigers,0
"Thursday, April 22, 2021",New York Yankees,0,Cleveland Indians,3
"Thursday, April 22, 2021",Seattle Mariners,0,Boston Red Sox,0
"Thursday, April 22, 2021",New York Mets,0,Chicago Cubs,0
"Thursday, April 22, 2021",Los Angeles Angels,0,Houston Astros,0
"Thursday, April 22, 2021",Miami Marlins,0,San Francisco Giants,3
"Thursday, April 22, 2021",San Diego Padres,0,Los Angeles Dodgers,0
"Thursday, April 22, 2021",Arizona Diamondbacks,0,Cincinnati Reds,1
"Friday, April 23, 2021",Milwaukee Brewers,0,Chicago Cubs,6
"Friday, April 23, 2021",Oakland Athletics,0,Baltimore Orioles,0
"Friday, April 23, 2021",Seattle Mariners,1,Boston Red Sox,2
"Friday, April 23, 2021",New York Yankees,0,Cleveland Indians,3
"Friday, April 23, 2021",Kansas City Royals,0,Detroit Tigers,0
"Friday, April 23, 2021",Washington Nationals,0,New York Mets,0
"Friday, April 23, 2021",Toronto Blue Jays,4,Tampa Bay Rays,0
"Friday, April 23, 2021",Arizona Diamondbacks,0,Atlanta Braves,0
"Friday, April 23, 2021",Texas Rangers,0,Chicago White Sox,0
"Friday, April 23, 2021",Los Angeles Angels,0,Houston Astros,0
"Friday, April 23, 2021",Pittsburgh Pirates,0,Minnesota Twins,0
"Friday, April 23, 2021",Cincinnati Reds,0,St. Louis Cardinals,0
"Friday, April 23, 2021",Philadelphia Phillies,0,Colorado Rockies,0
"Friday, April 23, 2021",Miami Marlins,1,San Francisco Giants,0
"Friday, April 23, 2021",San Diego Padres,0,Los Angeles Dodgers,1
"Saturday, April 24, 2021",Seattle Mariners,1,Boston Red Sox,0
"Saturday, April 24, 2021",Kansas City Royals,0,Detroit Tigers,0
"Saturday, April 24, 2021",Pittsburgh Pirates,0,Minnesota Twins,0
"Saturday, April 24, 2021",Cincinnati Reds,0,St. Louis Cardinals,1
"Saturday, April 24, 2021",Milwaukee Brewers,0,Chicago Cubs,0
"Saturday, April 24, 2021",Washington Nationals,1,New York Mets,0
"Saturday, April 24, 2021",Los Angeles Angels,0,Houston Astros,3
"Saturday, April 24, 2021",New York Yankees,0,Cleveland Indians,0
"Saturday, April 24, 2021",Toronto Blue Jays,3,Tampa Bay Rays,0
"Saturday, April 24, 2021",Oakland Athletics,1,Baltimore Orioles,0
"Saturday, April 24, 2021",Texas Rangers,0,Chicago White Sox,0
"Saturday, April 24, 2021",Philadelphia Phillies,0,Colorado Rockies,1
"Saturday, April 24, 2021",Miami Marlins,0,San Francisco Giants,0
"Saturday, April 24, 2021",San Diego Padres,1,Los Angeles Dodgers,0
"Sunday, April 25, 2021",Arizona Diamondbacks,5,Atlanta Braves,0
"Sunday, April 25, 2021",Oakland Athletics,0,Baltimore Orioles,0
"Sunday, April 25, 2021",Seattle Mariners,1,Boston Red Sox,4
"Sunday, April 25, 2021",New York Yankees,0,Cleveland Indians,0
"Sunday, April 25, 2021",Kansas City Royals,0,Detroit Tigers,0
